,V1_11-,V1_12+,V2_11-,V2_12+
2020-01-01,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-04-01,0.0,0.0,0.0,0.0
2020-05-01,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,0.0
2020-07-01,0.0,0.0,0.0,0.0
2020-08-01,0.0,0.0,0.0,0.0
2020-09-01,0.0,0.0,0.0,0.0
2020-10-01,0.0,0.0,0.0,0.0
2020-11-01,0.0,0.0,0.0,0.0
2020-12-01,0.0,0.0,0.0,0.0
2021-01-01,0.0,0.025156626506024096,0.0,0.0
2021-02-01,0.0,0.048319277108433735,0.0,0.0
2021-03-01,0.0,0.0736566265060241,0.0,0.0
2021-04-01,0.0,0.12346385542168674,0.0,0.0
2021-05-01,0.0,0.23293975903614458,0.0,0.0
2021-06-01,0.0,0.4451385542168675,0.0,0.0
2021-07-01,0.0,0.676222891566265,0.0,0.0
2021-08-01,0.0,0.8086506024096386,0.0,0.00958433734939759
2021-09-01,0.0,0.8766385542168674,0.0,0.01030722891566265
2021-10-01,0.0,0.892222891566265,0.0,0.0427289156626506
2021-11-01,0.0,0.9016867469879518,0.0,0.16653614457831323
2021-12-01,0.0,0.8897831325301204,0.0,0.435289156626506
2022-01-01,0.030849397590361448,0.8949337349397589,0.0,0.5172590361445784
2022-02-01,0.14710240963855423,0.8997771084337348,0.0,0.5356867469879518
2022-03-01,0.18736746987951808,0.8997771084337348,0.0,0.5361626506024096
2022-04-01,0.20197590361445783,0.8997771084337348,0.0,0.566632530120482
2022-05-01,0.20630722891566264,0.8997771084337348,0.0,0.5765722891566265
2022-06-01,0.1787168674698795,0.8949578313253013,0.0,0.5708012048192771
2022-07-01,0.17869277108433734,0.8949337349397589,0.0,0.5707650602409639
2022-08-01,0.19377108433734938,0.8999819277108435,0.0,0.5751325301204819
2022-09-01,0.19484939759036146,0.8999638554216867,0.0,0.5776566265060241
2022-10-01,0.19627108433734938,0.9002831325301206,0.0,0.5795361445783133
2022-11-01,0.19766867469879518,0.9004397590361445,0.0,0.5818253012048192
2022-12-01,0.19766867469879518,0.9004397590361445,0.0,0.5883253012048193
2023-01-01,0.2004036144578313,0.9004397590361445,0.0,0.5915843373493975
2023-02-01,0.2004036144578313,0.9004397590361445,0.0,0.5910180722891566
